t_sec,seq,imu_hz,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_g_x,proj_g_y,proj_g_z
3.962742044,772,200.035606338,0.999882996,-0.014019000,-0.005815000,-0.001518000,0.001361427,0.003717167,0.000611720,0.111984998,-0.287483990,9.804315567,-0.011671201,0.028017066,-0.999539307
3.967810068,773,200.035606338,0.999882996,-0.014012000,-0.005810000,-0.001519000,0.003508042,0.000191742,-0.000518363,0.114767998,-0.287184000,9.804732323,-0.011661209,0.028003069,-0.999539816
3.972867883,774,200.035606338,0.999884009,-0.014003000,-0.005809000,-0.001522000,0.002558600,0.001131916,-0.000226282,0.108384997,-0.283430010,9.803353310,-0.011659277,0.027985069,-0.999540343
3.977414745,775,200.035606338,0.999884009,-0.013999000,-0.005806000,-0.001523000,-0.000456404,-0.000130114,0.000166609,0.108318001,-0.286556989,9.793035507,-0.011653294,0.027977068,-0.999540637
3.983129212,776,200.035606338,0.999884009,-0.014002000,-0.005808000,-0.001523000,-0.000917816,0.001098667,0.000980439,0.106412001,-0.288123012,9.797840118,-0.011657303,0.027983061,-0.999540422
3.987504712,777,200.035606338,0.999884009,-0.013998000,-0.005795000,-0.001522000,0.002356072,0.007680828,-0.000965708,0.111253001,-0.286136001,9.805334091,-0.011631266,0.027975113,-0.999540948
3.992580799,778,200.035606338,0.999884009,-0.013991000,-0.005781000,-0.001528000,0.002190249,0.004401964,-0.002303067,0.111780003,-0.282604009,9.802303314,-0.011603415,0.027961088,-0.999541664
3.999766491,779,200.035606338,0.999884009,-0.013990000,-0.005776000,-0.001530000,-0.000501119,0.001591653,0.000808838,0.113251999,-0.281367987,9.804603577,-0.011593470,0.027959080,-0.999541835
4.002704782,780,200.035606338,0.999884009,-0.013989000,-0.005772000,-0.001527000,-0.000062430,0.001921066,0.000804230,0.110228002,-0.281093985,9.805531502,-0.011585384,0.027957126,-0.999541984
4.007997769,781,200.035606338,0.999884009,-0.013988000,-0.005769000,-0.001529000,0.000707487,0.000484678,-0.001166054,0.115189001,-0.284103006,9.808341980,-0.011579437,0.027955114,-0.999542109
4.012520631,782,200.035606338,0.999884009,-0.013983000,-0.005766000,-0.001531000,0.002776958,0.000377218,-0.000072641,0.122010998,-0.278432995,9.801570892,-0.011573479,0.027945101,-0.999542458
4.017743441,783,200.035606338,0.999884009,-0.013976000,-0.005771000,-0.001527000,-0.000512865,-0.001020285,0.002604991,0.120018996,-0.285997987,9.798563004,-0.011583344,0.027931134,-0.999542734
4.022854666,784,200.035606338,0.999884009,-0.013977000,-0.005772000,-0.001524000,0.000309726,0.000451883,-0.001024857,0.116981998,-0.289687008,9.799933434,-0.011585263,0.027933164,-0.999542655
4.027399032,785,200.035606338,0.999884009,-0.013976000,-0.005772000,-0.001530000,-0.000345558,-0.000750177,-0.002305685,0.112324998,-0.286785990,9.807003975,-0.011585428,0.027931096,-0.999542711
4.032457551,786,200.035606338,0.999884009,-0.013983000,-0.005771000,-0.001531000,-0.006180752,0.001383034,0.000904255,0.106693000,-0.280483991,9.806681633,-0.011583477,0.027945086,-0.999542343
4.037681642,787,200.035606338,0.999884009,-0.013998000,-0.005767000,-0.001534000,-0.004708933,0.002850262,-0.001139543,0.110988997,-0.280166000,9.810080528,-0.011575608,0.027975059,-0.999541595
4.042550526,788,200.035606338,0.999884009,-0.014005000,-0.005763000,-0.001535000,-0.001201415,0.000489827,0.000849609,0.113867000,-0.284862995,9.800951004,-0.011567658,0.027989058,-0.999541296
